"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description"
"CRCW060350R0FKEA","Vishay Dale","541-3318-1-ND","R102","Cut Tape (CT)","Active","1","0,09000","0,09 €","0","52 Weeks","RES SMD 50 OHM 1% 1/10W 0603"
"C0603C472K1GEC7867","KEMET","399-14206-1-ND","C101, C201, C202","Cut Tape (CT)","Active","3","0,26000","0,78 €","3719","24 Weeks","CAP CER 4700PF 100V C0G/NP0 0603"
"CL21B105KAFNNNE","Samsung Electro-Mechanics","1276-1066-1-ND","C203, C204, C205","Cut Tape (CT)","Active","3","0,09000","0,27 €","15526","28 Weeks","CAP CER 1UF 25V X7R 0805"
"C0603C104J4RACTU","KEMET","399-1097-1-ND","C207, C401, C501, C601_1, C601_2, C601_3, C602_1, C602_2, C602_3, C603_1, C603_2, C603_3, C304, C305, C307, C309","Cut Tape (CT)","Active","16","0,08500","1,36 €","1900438","23 Weeks","CAP CER 0.1UF 16V X7R 0603"
"04023A200JAT2A","AVX Corporation","478-11740-1-ND","C301, C302","Cut Tape (CT)","Active","2","0,26000","0,52 €","4922","16 Weeks","CAP CER 20PF 25V C0G/NP0 0402"
"GRM188C81C475KE11D","Murata Electronics","490-13362-1-ND","C303, C306, C308","Cut Tape (CT)","Active","3","0,32000","0,96 €","0","23 Weeks","CAP CER 4.7UF 16V X6S 0603"
"GRM21BC71E106KE11L","Murata Electronics","490-10496-1-ND","C402, C403, C206","Cut Tape (CT)","Active","3","0,51000","1,53 €","66009","23 Weeks","CAP CER 10UF 25V X7S 0805"
"0430450400","Molex","WM1814-ND","CAM101, CAM102, CAM103","Tray","Active","3","1,20000","3,60 €","26834","6 Weeks","CONN HEADER R/A 4POS 3MM"
"PRTR5V0U2X,215","Nexperia USA Inc.","1727-3884-1-ND","D101","Cut Tape (CT)","Active","1","0,41000","0,41 €","531","8 Weeks","TVS DIODE 5.5V SOT143B"
"B0540W-7-F","Diodes Incorporated","B0540W-FDICT-ND","D102, D201, D203","Cut Tape (CT)","Active","3","0,27000","0,81 €","0","24 Weeks","DIODE SCHOTTKY 40V 500MA SOD123"
"LG R971-KN-1","OSRAM Opto Semiconductors Inc.","475-1410-1-ND","D202, D204, D504, D505, D506","Cut Tape (CT)","Active","5","0,22000","1,10 €","283121","12 Weeks","LED GREEN DIFFUSED 0805 SMD"
"LO R976-PS-1","OSRAM Opto Semiconductors Inc.","475-2488-2-ND","D501, D502, D503","Tape & Reel (TR)","Active","3","0,00000","0,00 €","4307","16 Weeks","LED ORANGE DIFFUSED 0805 SMD"
"MF-MSMF050-2","Bourns Inc.","MF-MSMF050-2CT-ND","F201, F202","Cut Tape (CT)","Active","2","0,27000","0,54 €","11326","20 Weeks","PTC RESET FUSE 15V 500MA 1812"
"DF13A-4P-1.25H(51)","Hirose Electric Co Ltd","H125779CT-ND","I101","Cut Tape (CT)","Active","1","0,79000","0,79 €","52","26 Weeks","CONN HEADER SMD R/A 4POS 1.25MM"
"0475890001","Molex","WM17143CT-ND","J101","Cut Tape (CT)","Active","1","0,66000","0,66 €","16302","12 Weeks","CONN RCPT MICRO USB AB 5P SMD RA"
"BLM18PG471SN1D","Murata Electronics","490-5223-1-ND","L201","Cut Tape (CT)","Active","1","0,09000","0,09 €","0","15 Weeks","FERRITE BEAD 470 OHM 0603 1LN"
"BLM21BD152SN1D","Murata Electronics","490-1048-1-ND","L301","Cut Tape (CT)","Active","1","0,18000","0,18 €","13310","16 Weeks","FERRITE BEAD 1.5 KOHM 0805 1LN"
"2N7002DW-7-F","Diodes Incorporated","2N7002DW-FDICT-ND","Q201","Cut Tape (CT)","Active","1","0,30000","0,30 €","0","45 Weeks","MOSFET 2N-CH 60V 0.23A SOT-363"
"ERJ-3GEYJ105V","Panasonic Electronic Components","P1.0MGCT-ND","R101","Cut Tape (CT)","Active","1","0,09000","0,09 €","263582","29 Weeks","RES SMD 1M OHM 5% 1/10W 0603"
"RT0603FRE0710KL","Yageo","YAG2321CT-ND","R201, R205, R302, R303, R403, R404, R407, R408, R601_1, R601_2, R601_3, R602_1, R602_2, R602_3, R603_1, R603_2, R603_3","Cut Tape (CT)","Active","17","0,04800","0,81 €","129389","20 Weeks","RES SMD 10K OHM 1% 1/10W 0603"
"CRCW0603270RFKEA","Vishay Dale","541-270HCT-ND","R202, R405, R406, R501, R502, R503, R504, R505, R506","Cut Tape (CT)","Active","9","0,09000","0,81 €","0","52 Weeks","RES SMD 270 OHM 1% 1/10W 0603"
"RT0603FRE07100KL","Yageo","YAG2319CT-ND","R203, R207, R208","Cut Tape (CT)","Active","3","0,09000","0,27 €","84","20 Weeks","RES SMD 100K OHM 1% 1/10W 0603"
"CRCW0603470RFKEAC","Vishay Dale","541-4038-1-ND","R204, R206, R304, R306","Cut Tape (CT)","Active","4","0,09000","0,36 €","37544","22 Weeks","RES 470 OHM 1% 1/10W 0603"
"CPF0603B39RE1","TE Connectivity Passive Product","A103095CT-ND","R305","Cut Tape (CT)","Active","1","0,50000","0,50 €","1795","21 Weeks","RES SMD 39 OHM 0.1% 1/16W 0603"
"CRCW06032K20FKEAC","Vishay Dale","541-4022-1-ND","R401, R402","Cut Tape (CT)","Active","2","0,09000","0,18 €","4900","22 Weeks","RES 2.2K OHM 1% 1/10W 0603"
"LB Q39G-L2OO-35-1","OSRAM Opto Semiconductors Inc.","475-2816-1-ND","RX401, TX401","Cut Tape (CT)","Active","2","0,30000","0,60 €","34058","12 Weeks","LED BLUE DIFFUSED 0603 SMD"
"CJS-1201TA","Nidec Copal Electronics","563-1023-1-ND","S601_1, S601_2, S601_3","Cut Tape (CT)","Active","3","0,87000","2,61 €","17139","11 Weeks","SWITCH SLIDE SPDT 100MA 6V"
"DF13A-7P-1.25H(76)","Hirose Electric Co Ltd","H126444-ND","SPI101, SPI102, X102","Tube","Active","3","0,82000","2,46 €","97","26 Weeks","CONN HEADER SMD R/A 7POS 1.25MM"
"KMR631NG ULC LFS","C&K","CKN10685CT-ND","SW301","Cut Tape (CT)","Active","1","0,33000","0,33 €","0","18 Weeks","SWITCH TACTILE SPST-NO 50MA 32V"
"219-8LPSTRF","CTS Electrocomponents","CT3120CT-ND","SW501","Cut Tape (CT)","Active","1","0,95000","0,95 €","212","12 Weeks","SWITCH SLIDE DIP SPST 100MA 20V"
"DMP2065UFDB-7","Diodes Incorporated","DMP2065UFDB-7DICT-ND","T201, T202","Cut Tape (CT)","Active","2","0,43000","0,86 €","22","40 Weeks","MOSFET 2 P-CH 20V 4.5A DFN2020-6"
"LD1117S33TR","STMicroelectronics","497-1242-1-ND","U201","Cut Tape (CT)","Active","1","0,39000","0,39 €","16450","26 Weeks","IC REG LINEAR 3.3V 800MA SOT223"
"LD1117S50TR","STMicroelectronics","497-6447-1-ND","U202","Cut Tape (CT)","Active","1","0,39000","0,39 €","8373","26 Weeks","IC REG LINEAR 5V 800MA SOT223"
"SN74LV123ARGYR","Texas Instruments","296-13931-1-ND","U401","Cut Tape (CT)","Active","1","0,52000","0,52 €","15329","12 Weeks","IC MULTIVIBRATOR 13NS 16VQFN"
"NC7NZ17K8X","ON Semiconductor","NC7NZ17K8XCT-ND","U501","Cut Tape (CT)","Active","1","0,47000","0,47 €","31005","37 Weeks","IC BUFFER NON-INVERT 5.5V US8"
"SN74LVC1T45DPKR","Texas Instruments","296-30277-1-ND","U601_1, U601_2, U601_3","Cut Tape (CT)","Active","3","0,50000","1,50 €","3907","6 Weeks","IC TRNSLTR BIDIRECTIONAL 6USON"
"NC7SZ157P6X","ON Semiconductor","NC7SZ157P6XCT-ND","U602_1, U602_2, U602_3","Cut Tape (CT)","Active","3","0,38000","1,14 €","18995","41 Weeks","IC MULTIPLEXER 1 X 2:1 SC88"
"0436500201","Molex","WM1865-ND","X101","Tray","Active","1","1,02000","1,02 €","11487","5 Weeks","CONN HEADER R/A 2POS 3MM"
"DF13A-6P-1.25H(21)","Hirose Electric Co Ltd","H125991CT-ND","X103","Cut Tape (CT)","Active","1","0,55000","0,55 €","3742","26 Weeks","CONN HEADER SMD R/A 6POS 1.25MM"
"FK135EIHM0.032768-T3","Fox Electronics","631-1002-1-ND","XTAL301","Cut Tape (CT)","Active","1","0,70000","0,70 €","0","54 Weeks","CRYSTAL 32.7680KHZ 12.5PF SMD"